날짜,종가,시가,고가,저가,거래량
2021.02.18,1605,1635,1640,1590,555257
2021.02.17,1605,1590,1620,1590,455770
2021.02.16,1610,1585,1635,1580,1931609
2021.02.15,1545,1515,1545,1510,453901
2021.02.10,1515,1490,1520,1485,373192
2021.02.09,1495,1480,1515,1470,506559
2021.02.08,1485,1505,1510,1485,308674
2021.02.05,1505,1490,1510,1480,454479
2021.02.04,1485,1525,1530,1480,366884
2021.02.03,1520,1545,1545,1515,332175
2021.02.02,1525,1485,1540,1485,416412
2021.02.01,1480,1450,1485,1400,503394
2021.01.29,1460,1570,1575,1445,1101802
2021.01.28,1560,1580,1645,1555,1430674
2021.01.27,1595,1610,1615,1590,378067
2021.01.26,1600,1620,1625,1600,594613
2021.01.25,1620,1630,1630,1605,428104
2021.01.22,1615,1640,1660,1605,825182
2021.01.21,1645,1645,1670,1625,443271
2021.01.20,1635,1630,1645,1620,379310
2021.01.19,1620,1600,1630,1595,493026
2021.01.18,1600,1650,1655,1595,1043396
2021.01.15,1650,1680,1690,1645,709478
2021.01.14,1680,1710,1715,1665,674648
2021.01.13,1705,1645,1715,1645,864307
2021.01.12,1645,1655,1690,1640,940483
2021.01.11,1675,1765,1785,1655,1748377
2021.01.08,1755,1745,1810,1715,4442952
2021.01.07,1740,1755,1755,1720,833966
2021.01.06,1740,1725,1760,1700,1022286
2021.01.05,1735,1740,1760,1715,906861
2021.01.04,1740,1725,1760,1715,1595592
2020.12.30,1715,1710,1740,1695,1136915
2020.12.29,1710,1645,1820,1635,8456445
2020.12.28,1620,1660,1665,1620,538696
2020.12.24,1670,1640,1680,1635,421614
2020.12.23,1640,1655,1675,1625,929743
2020.12.22,1655,1710,1715,1655,1073883
2020.12.21,1710,1740,1755,1700,780421
2020.12.18,1740,1715,1755,1715,686116
2020.12.17,1715,1725,1740,1710,538831
2020.12.16,1730,1715,1750,1710,860762
2020.12.15,1715,1755,1765,1710,984275
2020.12.14,1755,1775,1775,1750,910158
2020.12.11,1775,1785,1795,1770,853748
2020.12.10,1785,1780,1810,1755,1498769
2020.12.09,1800,1835,1845,1790,2520129
2020.12.08,1845,1800,1855,1775,3021137
2020.12.07,1800,1805,1810,1770,1093876
2020.12.04,1800,1780,1800,1745,1550019
2020.12.03,1775,1785,1790,1755,625724
2020.12.02,1785,1800,1805,1770,1051242
2020.12.01,1795,1770,1820,1770,1954260
2020.11.30,1765,1770,1770,1735,1054938
2020.11.27,1760,1750,1780,1750,731866
2020.11.26,1760,1785,1805,1755,876020
2020.11.25,1770,1820,1825,1750,1486367
2020.11.24,1805,1835,1835,1795,1093991
2020.11.23,1820,1835,1870,1805,1652532
2020.11.20,1835,1800,1840,1795,1159985
2020.11.19,1795,1820,1820,1780,982490
2020.11.18,1805,1780,1830,1775,1201859
2020.11.17,1760,1785,1795,1735,1705812
2020.11.16,1800,1850,1850,1795,1870711
2020.11.13,1830,1855,1880,1830,1834476
2020.11.12,1865,1910,1910,1860,1278158
2020.11.11,1885,1875,1920,1850,4159985
2020.11.10,1865,1890,1925,1840,6283402
2020.11.09,1945,1970,1985,1895,3959324
2020.11.06,1960,1950,1980,1920,5223128
2020.11.05,1935,1880,1950,1880,3452134
2020.11.04,1880,1920,1940,1865,3307264
2020.11.03,1900,1930,1970,1880,3695161
2020.11.02,1945,1890,1955,1865,5337371
2020.10.30,1860,1910,1985,1845,14001078
2020.10.29,1880,1760,1895,1745,7812236
2020.10.28,1805,1850,1900,1805,5792850
2020.10.27,1835,1710,1880,1700,13248324
2020.10.26,1730,1770,1800,1690,3397052
2020.10.23,1795,1890,1890,1775,4585070
2020.10.22,1870,1800,1930,1775,17518682
2020.10.21,1820,1715,1850,1680,8083602
2020.10.20,1700,1740,1740,1650,1491933
2020.10.19,1740,1625,1775,1625,4181647
2020.10.16,1620,1660,1695,1595,1251357
2020.10.15,1660,1730,1730,1655,1384067
2020.10.14,1730,1735,1755,1710,1565912
2020.10.13,1710,1750,1760,1705,1979442
2020.10.12,1700,1700,1710,1675,853662
2020.10.08,1700,1720,1725,1690,1153542
2020.10.07,1695,1685,1725,1665,2011742
2020.10.06,1660,1665,1680,1640,1083174
2020.10.05,1655,1635,1680,1605,1332604
2020.09.29,1635,1610,1645,1605,1183694
2020.09.28,1595,1550,1630,1550,1127130
2020.09.25,1545,1575,1590,1535,1253440
2020.09.24,1560,1600,1625,1540,2261724
2020.09.23,1645,1635,1680,1600,2555203
2020.09.22,1630,1695,1705,1605,2805270
2020.09.21,1710,1770,1815,1680,2134947
